,title,author,current price
1,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,13.73
3,The Midnight Library,Matt Haig,10.8
5,The Love Hypothesis,Ali Hazelwood,13.95
6,"Beautiful World, Where Are You",Sally Rooney,21.29
7,Peril,Bob Woodward,27.35
11,The Thursday Murder Club,Richard Osman,15.05
13,Your Head is a Houseboat,Campbell Walker,17.89
14,Where the Crawdads Sing,Delia Owens,10.47
15,Piranesi,Susanna Clarke,11.57
16,Six Crimson Cranes,Elizabeth Lim,23.8
19,Heaven Official's Blessing,Mo Xiang Tong Xiu,17.89
20,The Song of Achilles,Madeline Miller,29.61
21,Come as You Are: Revised and Updated,Emily Nagoski,29.61
22,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,17.89
23,The Silent Patient,Alex Michaelides,9.96
25,The Atlas Six,Olivie Blake,16.64
27,Normal People,Sally Rooney,13.93
28,Death to Jar Sauce,Nat's What I Reckon,22.67
29,The Beekeeper of Aleppo,Christy Lefteri,10.58
30,"Red, White & Royal Blue",Casey McQuiston,13.52
31,I Grew with You,Sarah Molitor,15.9
32,The Scum Villain's Self-Saving System,Mo Xiang Tong Xiu,17.89
34,Empire of the Vampire,Jay Kristoff,46.27
35,If We Were Villains - signed edition,M. L. Rio,46.27
36,Red Roulette,Desmond Shum,34.6
37,Clarity & Connection,Yung Pueblo,15.47
38,The Spanish Love Deception,Elena Armas,25.86
43,Your One Wild and Precious Life,Maureen Gaffney,21.34
46,The Vanishing Half,Brit Bennett,14.49
47,Once Upon A Broken Heart,Stephanie Garber,21.7
49,12 Rules for Life,Jordan B. Peterson,15.2
50,The Truth About COVID-19,Doctor Joseph Mercola,20.87
51,This Much is True,Miriam Margolyes,23.96
52,Hamnet,Maggie O'Farrell,15.34
53,The Psychology of Money,Morgan Housel,17.04
57,The Legacy,Elle Kennedy,14.69
58,You Can Do All Things 2022 Day-to-Day Calendar,Kate Allan,15.1
61,From Blood and Ash,Jennifer L Armentrout,36.89
62,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,17.89
65,A Good Girl's Guide to Murder,Holly Jackson,12.66
66,The Storyteller,Dave Grohl,24.37
67,The Man Who Died Twice,Richard Osman,26.09
68,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,23.02
70,A Passage North,Anuk Arudpragasam,25.94
72,What Really Happened In Wuhan,Sharri Markson,22.67
74,"My Hero Academia, Vol. 29",Kohei Horikoshi,9.72
76,Joshua Weissman: An Unapologetic Cookbook,Joshua Weissman,28.72
77,Aristotle and Dante Dive Into the Waters of the World,Benjamin Alire Saenz,12.88
80,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,20.96
81,Natural Magick,Lindsay Squire,20.78
82,Our Family Pledge,Emmaline Carroll Southwell,13.8
83,The Queen of Nothing (The Folk of the Air #3),Holly Black,13.88
86,Before the Coffee Gets Cold,Toshikazu Kawaguchi,12.31
87,Crooked Kingdom Collector's Edition,Leigh Bardugo,21.4
88,The Wicked King (The Folk of the Air #2),Holly Black,10.35
89,Circe,Madeline Miller,13.47
92,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,17.89
93,The Unhoneymooners,Christina Lauren,16.17
95,And Away...,Bob Mortimer,21.29
96,Secrets of Natural Success,William Whitecloud,25.12
99,Children Of Dune,Frank Herbert,16.63
101,Belonging,Catherine Corless,19.25
105,The Unhoneymooners,Christina Lauren,11.2
106,The Alchemist,Paulo Coelho,8.88
107,The Great Dune Trilogy,Frank Herbert,41.64
108,Heartstopper Volume Four,Alice Oseman,17.83
109,BYWAYS. Photographs by Roger A Deakins,Roger  Deakins,49.81
111,Attached,Amir Levine,15.46
114,Red Roulette,Desmond Shum,26.38
116,Shuggie Bain,Douglas Stuart,12.22
118,A Court of Thorns and Roses,Sarah J. Maas,11.78
119,How to Save a Life,LYNETTE RICE,18.27
124,"Girl, Woman, Other",Bernardine Evaristo,14.48
125,The Flatshare,Beth O'Leary,16.02
126,Grandmaster of Demonic Cultivation: Mo DAO Zu Shi (Novel) Vol. 3,Mo Xiang Tong Xiu,17.89
127,Inward,Yung Pueblo,14.58
128,Think Again,Adam Grant,18.53
130,The Almanack of Naval Ravikant,Eric Jorgenson,13.77
131,Berserk Deluxe Volume 4,Kentaro Miura,55.29
132,The Forever Dog,Rodney Habib,17.22
133,The The Wild Beyond the Witchlight: Dungeons & Dragons,Wizards Rpg Team,41.84
134,The Hawthorne Legacy,Jennifer Lynn Barnes,11.19
135,Breath,James Nestor,15.1
138,When the Body Says No,Dr Gabor Mate,15.45
142,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Mo Xiang Tong Xiu,17.89
143,"Set Boundaries, Find Peace",Nedra Glover Tawwab,15.73
144,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,17.89
146,A Cook's Book,Nigel Slater,39.86
147,The House in the Cerulean Sea,TJ Klune,14.27
148,The Montessori Toddler,Simone Davies,17.56
151,How To Do The Work,Nicole Lepera,27.19
154,Bewilderment,Richard Powers,23.84
156,Berserk Deluxe Volume 8,Kentaro Miura,53.84
157,Ariadne,Jennifer Saint,26.65
158,The Folk of the Air Boxset,Holly Black,38.95
159,Dance of Thieves,Mary Pearson,14.97
161,Big Panda and Tiny Dragon,James Norbury,21.2
163,Everything I Know About Love,Dolly Alderton,14.69
166,Surrounded by Idiots,Thomas Erikson,12.63
167,Some Things I Still Can't Tell You,Misha Collins,13.42
169,Meine Reise durch Europa,Rita Berman,10.28
170,The Twins of Auschwitz,Eva Mozes Kor,14.3
171,Entangled Life,Merlin Sheldrake,14.83
172,Lit from Within,Sarah Powers,17.86
173,Tales From the Forest Kingdom Coloring Book,Hanna Karlzon,16.02
174,"Get A Life, Chloe Brown",Talia Hibbert,14.88
176,Untamed,Glennon Doyle,18.59
177,Numberblocks Annual 2022,Sweet Cherry Publishing,11.17
178,The Courage To Be Disliked,Ichiro Kishimi,15.44
179,The Witcher Boxed Set,Andrzej Sapkowski,90.6
181,Anxious People,Fredrik Backman,12.92
182,Unnatural Causes,Dr Richard Shepherd,18.52
183,One Last Stop,Casey McQuiston,13.69
184,The Inheritance Games,Jennifer Lynn Barnes,13.83
187,Braiding Sweetgrass,Robin Wall Kimmerer,15.43
189,Dark Rise: Dark Rise 1,C S Pacat,15.49
191,A Radical Awakening,Dr Shefali Tsabary,24.9
192,God Emperor Of Dune,Frank Herbert,16.79
195,Dark Rise,C S Pacat,18.84
197,Heartstopper Volume One,Alice Oseman,16.81
198,The Light Seer's Tarot,Chris-Anne,22.42
201,Project Hail Mary,Andy Weir,20.99
202,The Brightest Night (Wings of Fire Graphic Novel 5 ),Tui T. Sutherland,13.36
203,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,14.27
204,"Chainsaw Man, Vol. 7",Tatsuki Fujimoto,8.94
205,The Comfort Book,Matt Haig,26.74
206,Ottolenghi Test Kitchen: Shelf Love,Yotam Ottolenghi,30.47
207,Nine Perfect Strangers,Liane Moriarty,15.21
208,Kingdom of the Cursed,Kerri Maniscalco,17.21
211,Go Tell the Bees that I am Gone,Diana Gabaldon,22.73
212,Tarot of Mystical Moments,Catrin Welz-Stein,25.28
213,Look Inside Your Body,Louie Stowell,20.42
214,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,14.55
216,It Starts with the Egg,Rebecca Fett,25.08
220,de Sangre Y Cenizas,Jennifer L Armentrout,15.9
221,"Demon Slayer: Kimetsu no Yaiba, Vol. 23",Koyoharu Gotouge,9.84
223,Our Dreams at Dusk: Shimanami Tasogare Vol. 2,Yuhki Kamatani,13.41
224,Heretics Of Dune,Frank Herbert,12.53
225,Chapter House Dune,Frank Herbert,17.07
227,On Writing,Stephen King,17.05
230,Mr Men Little Miss Advent Calendar,Adam Hargreave,24.36
233,You and Me on Vacation,Emily Henry,11.23
239,Harry Potter y la cámara secreta (Ed. Minalima),J.K. Rowling,33.47
240,"Jujutsu Kaisen, Vol. 11",Gege Akutami,33.47
241,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,8.94
242,Women Don't Owe You Pretty,Florence Given,19.0
243,Invisible Women,Caroline Criado Perez,13.44
245,A Court of Frost and Starlight,Sarah J. Maas,13.07
246,The Montessori Baby,Simone Davies,18.87
249,Troubled Blood,Robert Galbraith,15.78
250,One Of Us Is Next,Karen M. McManus,11.2
256,The Hebridean Baker,Coinneach MacLeod,26.95
257,The Promise,Damon Galgut,19.82
259,Med,Claudia Roden,40.53
262,Minecraft Annual 2022,Mojang AB,13.62
264,Hokusai: The Great Picture Book of Everything,Timothy Clark,33.56
265,The Everyday Hero Manifesto,Robin Sharma,23.54
266,This Book Is for You,Worry Lines,17.56
267,The Only Study Guide You'll Ever Need,Jade Bowler,15.95
269,Burnout,Gordon Parker,33.65
270,Attack On Titan Season 1 Part 1 Manga Box Set,Hajime Isayama,41.3
275,Humankind,Rutger Bregman,14.97
276,The Salt Path,Raynor Winn,12.57
277,Peter Darling,Austin Chant,13.23
278,Meditations,Marcus Aurelius,10.79
286,My Year of Rest and Relaxation,Ottessa Moshfegh,14.72
287,Small Pleasures,Clare Chambers,10.12
288,Ninth House,Leigh Bardugo,15.33
292,Harry Potter Box Set: The Complete Collection (Children's Paperback),J.K. Rowling,92.54
295,Numbers Don't Lie,Vaclav Smil,14.39
299,Red Roulette,Desmond Shum,27.54
300,"Given, Vol. 6",Natsuki Kizu,11.63
301,Daisy Jones and The Six,Taylor Jenkins Reid,15.77
302,Scattered Minds,Dr Gabor Mate,13.99
305,Spin the Dawn,Elizabeth Lim,15.8
307,American Dirt,Jeanine Cummins,16.14
309,Tabby McTat,Julia Donaldson,13.66
310,Angel Answers Oracle Cards,Radleigh Valentine,16.27
311,And Away...,Bob Mortimer,23.54
316,The Hidden Life of Trees,Peter Wohlleben,14.82
318,Story Of My Home: The Art of Home,The Story Of My Home Team,22.32
319,Hold on to Your Kids,Dr Gabor Mate,15.56
320,The Promise,Damon Galgut,24.93
323,Misfits,Michaela Coel,12.7
324,Harry Potter and the Chamber of Secrets: MinaLima Edition,J.K. Rowling,39.0
325,Harry Potter and the Philosopher's Stone: MinaLima Edition,J.K. Rowling,39.27
326,The Real Anthony Fauci,Robert F. Kennedy Jr.,24.16
327,King of Scars,Leigh Bardugo,15.13
328,Berserk Deluxe Volume 5,Kentaro Miura,59.66
329,Heartstopper Volume Three,Alice Oseman,17.83
331,The Priory of the Orange Tree,Samantha Shannon,19.53
333,"Good Girl, Bad Blood",Holly Jackson,14.01
334,We Hunt the Flame,Hafsah Faizal,13.97
335,Wheel of Time Premium Boxed Set I,Robert Jordan,40.22
340,The Mamba Mentality: How I Play,Kobe Bryant,32.81
341,Una corte de llamas plateadas,Sarah J. Maas,17.73
346,Work Your Light Oracle Cards,Rebecca Campbell,17.61
347,Batman: The World,Brian Azzarello,23.21
349,A Court of Wings and Ruin,Sarah J. Maas,16.4
353,Welcome Home,Najwa Zebian,16.4
355,Press Here,Herve Tullet,10.37
356,The Love Hypothesis,Ali Hazelwood,12.88
358,The High 5 Habit,Mel Robbins,17.49
361,Josh and Hazel's Guide to Not Dating,Christina Lauren,9.86
362,Together,Jamie Oliver,37.36
366,"Asesino de Brujas - Vol. 3. La Doncella, La Bruja Y La Arpia",Shelby Mahurin,17.18
367,The Crown of Gilded Bones,Jennifer L Armentrout,35.37
368,Little Bont and the Big Secret,Marcus Bontempelli,13.32
369,Four Thousand Weeks,Oliver Burkeman,30.58
372,Convenience Store Woman,Sayaka Murata,14.11
376,The Invisible Life of Addie LaRue,V.E. Schwab,23.35
377,Attack on Titan 34,Hajime Isayama,9.86
379,Heartstopper Volume Two,Alice Oseman,16.82
384,As Good As Dead,Holly Jackson,13.84
389,"One Piece, Vol. 97",Eiichiro Oda,9.79
390,"My Hero Academia, Vol. 25",Kohei Horikoshi,10.31
392,Malibu Rising,Taylor Jenkins Reid,18.25
394,$100M Offers,Alex Hormozi,25.43
395,Our Dreams at Dusk: Shimanami Tasogare Vol. 4,Yuhki Kamatani,13.17
396,No One Is Talking About This,Patricia Lockwood,20.1
399,Rule of Wolves (King of Scars Book 2),Leigh Bardugo,24.71
400,Brief Answers to the Big Questions,Stephen Hawking,15.14
402,House of Hollow,Krystal Sutherland,11.61
404,Great Circle,Maggie Shipstead,23.95
405,AI 2041,Kai-Fu Lee,22.78
409,The Soulmate Equation,Christina Lauren,14.2
410,Live No Lies,John Mark Comer,22.88
411,The Magician,Colm Toibin,26.61
414,Almond,Won-Pyung Sohn,15.47
415,"Influence, New and Expanded UK","Robert B Cialdini, PhD",21.66
417,The 7 Habits of Highly Effective People,Stephen R Covey,17.55
418,The Art of More,Michael Brooks,34.14
420,The Wim Hof Method,Wim Hof,22.8
422,"Richer, Wiser, Happier",William Green,20.7
424,In Five Years,Rebecca Serle,12.7
429,Once Upon a Time in Hollywood,Quentin Tarantino,9.72
432,The Eye Of The World,Robert Jordan,14.15
434,The Silence of the Girls,Pat Barker,13.7
439,Cloud Cuckoo Land (Export),Anthony Doerr,24.26
441,Gribet,Janine Davis,12.88
442,Moonology (TM) Diary 2022: THE SUNDAY TIMES BESTSELLER,Yasmin Boland,15.47
444,Rick Stein at Home,Rick Stein,37.24
446,The Proof is in the Plants,Simon Hill,35.63
447,Billy Summers,Stephen King,27.66
448,Air Marshal Sir Keith Park,Murray Rowlands,24.05
449,Berserk Deluxe Volume 9,Kentaro Miura,44.74
450,Berserk Deluxe Volume 7,Kentaro Miura,55.75
452,Unbound,Tarana Burke,21.2
454,Lost Connections,Johann Hari,14.84
455,Empire of the Vampire,Jay Kristoff,32.14
461,PlantYou,Carleigh Bodrug,26.85
465,Dinosaur Therapy,James Stewart,32.45
466,River Kings,Cat Jarman,13.57
467,Zero Negativity,Ant Middleton,16.99
470,"Hunt, Gather, Parent",Michaeleen Doucleff,25.26
471,Life Force,Louise Fletcher,44.75
473,Lovers of Philosophy,Warren Ward,13.5
474,The Postscript Murders,Elly Griffiths,15.4
476,The Overstory,Richard Powers,18.13
477,Neon Gods,Katee Robert,16.14
