,title,author,publication year,publication month,publication day,format,current price,original price
0,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,2016,Aug,2,Paperback,13.87,13.87
1,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2020,Apr,2,Paperback,13.73,13.73
2,The Body Keeps the Score,Bessel van der Kolk,2015,Sep,24,Paperback,14.62,14.96
3,The Midnight Library,Matt Haig,2021,Feb,18,Paperback,10.8,12.24
4,The Song of Achilles,Madeline Miller,2017,Sep,21,Paperback,18.1,18.1
5,The Love Hypothesis,Ali Hazelwood,2021,Sep,28,Paperback,13.95,16.0
6,"Beautiful World, Where Are You",Sally Rooney,2021,Sep,7,Hardback,21.29,23.13
7,Peril,Bob Woodward,2021,Sep,21,Hardback,27.35,27.35
8,Man's Search For Meaning,Viktor E Frankl,2015,Oct,6,Paperback,8.0,9.52
9,Dune,Frank Herbert,2015,Jul,23,Paperback,8.0,9.52
10,Dune,Frank Herbert,2011,Jul,15,Paperback,14.68,14.68
11,The Thursday Murder Club,Richard Osman,2021,May,13,Paperback,15.05,15.05
12,The Hating Game,Sally Thorne,2017,Sep,7,Paperback,15.26,15.26
13,Your Head is a Houseboat,Campbell Walker,2021,Sep,29,Paperback,17.89,19.99
14,Where the Crawdads Sing,Delia Owens,2019,Dec,20,Paperback,10.47,12.24
15,Piranesi,Susanna Clarke,2021,Sep,2,Paperback,11.57,12.24
16,Six Crimson Cranes,Elizabeth Lim,2021,Jul,8,Hardback,23.8,23.8
17,Atomic Habits,James Clear,2018,Nov,27,Paperback,21.0,23.13
18,Ugly Love: A Novel,Colleen Hoover,2014,Aug,5,Paperback,15.64,16.99
19,Heaven Official's Blessing,Mo Xiang Tong Xiu,2021,Dec,14,Paperback,17.89,19.99
20,The Song of Achilles,Madeline Miller,2021,Sep,2,Hardback,29.61,29.61
21,Come as You Are: Revised and Updated,Emily Nagoski,2021,Mar,2,Paperback,29.61,29.61
22,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,2021,Dec,14,Paperback,17.89,19.99
23,The Silent Patient,Alex Michaelides,2020,Jan,15,Paperback,9.96,12.24
24,They Both Die at the End,Adam Silvera,2017,Sep,7,Paperback,10.33,10.88
25,The Atlas Six,Olivie Blake,2020,Jan,30,Paperback,16.64,16.64
26,Ugly Love,Colleen Hoover,2016,Jan,21,Paperback,13.44,15.5
27,Normal People,Sally Rooney,2019,Jul,23,Paperback,13.93,13.93
28,Death to Jar Sauce,Nat's What I Reckon,2021,Nov,16,Paperback,22.67,25.33
29,The Beekeeper of Aleppo,Christy Lefteri,2020,Apr,1,Paperback,10.58,12.24
