,title,author,publication date,format,current price,original price
0,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,02 Aug 2016,Paperback,US$13.87,US$13.87
1,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,02 Apr 2020,Paperback,US$13.73,US$13.73
2,The Body Keeps the Score,Bessel van der Kolk,24 Sep 2015,Paperback,US$14.62,US$14.96
3,The Midnight Library,Matt Haig,18 Feb 2021,Paperback,US$10.80,US$12.24
4,The Song of Achilles,Madeline Miller,21 Sep 2017,Paperback,US$18.10,US$18.10
5,The Love Hypothesis,Ali Hazelwood,28 Sep 2021,Paperback,US$13.95,US$16.00
6,"Beautiful World, Where Are You",Sally Rooney,07 Sep 2021,Hardback,US$21.29,US$23.13
7,Peril,Bob Woodward,21 Sep 2021,Hardback,US$27.35,US$27.35
8,Man's Search For Meaning,Viktor E Frankl,06 Oct 2015,Paperback,US$8.00,US$9.52
9,Dune,Frank Herbert,23 Jul 2015,Paperback,US$8.00,US$9.52
10,Dune,Frank Herbert,15 Jul 2011,Paperback,US$14.68,US$14.68
11,The Thursday Murder Club,Richard Osman,13 May 2021,Paperback,US$15.05,US$15.05
12,The Hating Game,Sally Thorne,07 Sep 2017,Paperback,US$15.26,US$15.26
13,Your Head is a Houseboat,Campbell Walker,29 Sep 2021,Paperback,US$17.89,US$19.99
14,Where the Crawdads Sing,Delia Owens,20 Dec 2019,Paperback,US$10.47,US$12.24
15,Piranesi,Susanna Clarke,02 Sep 2021,Paperback,US$11.57,US$12.24
16,Six Crimson Cranes,Elizabeth Lim,08 Jul 2021,Hardback,US$23.80,US$23.80
17,Atomic Habits,James Clear,27 Nov 2018,Paperback,US$21.00,US$23.13
18,Ugly Love: A Novel,Colleen Hoover,05 Aug 2014,Paperback,US$15.64,US$16.99
19,Heaven Official's Blessing,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.89,US$19.99
20,The Song of Achilles,Madeline Miller,02 Sep 2021,Hardback,US$29.61,US$29.61
21,Come as You Are: Revised and Updated,Emily Nagoski,02 Mar 2021,Paperback,US$29.61,US$29.61
22,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.89,US$19.99
23,The Silent Patient,Alex Michaelides,15 Jan 2020,Paperback,US$9.96,US$12.24
24,They Both Die at the End,Adam Silvera,07 Sep 2017,Paperback,US$10.33,US$10.88
25,The Atlas Six,Olivie Blake,30 Jan 2020,Paperback,US$16.64,US$16.64
26,Ugly Love,Colleen Hoover,21 Jan 2016,Paperback,US$13.44,US$15.50
27,Normal People,Sally Rooney,23 Jul 2019,Paperback,US$13.93,US$13.93
28,Death to Jar Sauce,Nat's What I Reckon,16 Nov 2021,Paperback,US$22.67,US$25.33
29,The Beekeeper of Aleppo,Christy Lefteri,01 Apr 2020,Paperback,US$10.58,US$12.24
30,"Red, White & Royal Blue",Casey McQuiston,14 May 2019,Paperback,US$13.52,US$16.99
31,I Grew with You,Sarah Molitor,26 Oct 2021,Hardback,US$15.90,US$16.95
32,The Scum Villain's Self-Saving System,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,US$17.89,US$19.99
33,The Cruel Prince (The Folk of the Air),Holly Black,26 Jul 2018,Paperback,US$10.82,US$12.24
